samplename,distributionDifference,haemoResult
earlyOA24,0.47664947140388136,Clear
earlyOA28,0.8509946754808286,Clear
earlyOA29,1.5074044274622231,Clear
earlyOA30,0.6196034151333016,Clear
earlyOA31,-0.1342706982858708,Clear
earlyOA63,1.1581456225468916,Clear
earlyOA64,0.4730959175726923,Clear
earlyOA76,0.7919098389280066,Clear
earlyOA78,0.6203200217587188,Clear
earlyOA87,1.0576919376320024,Clear
earlyOA100,1.3614896638298095,Clear
earlyOA101,0.7357380466698498,Clear
earlyOA103,1.0998658778585426,Clear
earlyOA107,0.587261556169798,Clear
earlyOA115,0.09754473703342725,Clear
earlyOA138,0.7188651976265579,Clear
earlyOA156,1.002632369879736,Clear
earlyOA19,1.803397837433664,Clear
earlyOA88,1.04340764683681,Clear
earlyOA93,0.8349552024932798,Clear
earlyOA150,0.03027979630733313,Clear
earlyOA161,1.3327641074566987,Clear
earlyOA46,0.8400413835703606,Clear
earlyOA50,1.672049097505151,Clear
earlyOA112,0.5026072711700253,Clear
earlyOA115W,-0.14938817539209914,Clear
earlyOA116,0.06646421429457483,Clear
earlyOA121,0.5944255849931448,Clear
earlyOA53R,0.6192118175112657,Clear
earlyOA54R,0.6163775064133645,Clear
earlyOA56R,0.136830563841011,Clear
earlyOA58R,0.12155907058037485,Clear
earlyOA168,0.35653987775521045,Clear
earlyOA102,-0.06197329473737945,Clear
earlyOA109,-0.22275392966180796,Clear
earlyOA124,0.047795025674872704,Clear
earlyOA145,0.06514098312518435,Clear
earlyOA149,-0.2993482886193384,Clear
earlyOA151,0.5187130216105906,Clear
earlyOA77,0.09451230463359295,Clear
earlyOA98,-0.25399512121320456,Clear
lateOA100,1.8963096686886542,Clear
lateOA111,1.185269158410959,Clear
lateOA25,1.8417023322776824,Clear
lateOA273,1.4230067252754086,Clear
lateOA342,1.2686197204910172,Clear
lateOA44,1.1109443698047787,Clear
lateOA476,1.3130345556508427,Clear
lateOA93,1.2779275759307156,Clear
lateOA259,1.8783518369026213,Clear
lateOA275,1.3819495947739409,Clear
lateOA280,1.6685664858381966,Clear
lateOA305,0.883788545204629,Clear
lateOA370,1.581610611976652,Clear
lateOA40,1.4977907919196864,Clear
lateOA411,1.4736511133605728,Clear
lateOA419,1.5132673965048475,Clear
lateOA506,1.0990984305039042,Clear
lateOA69,1.3327121429782807,Clear
lateOA77,1.1988984250107073,Clear
lateOA97,1.8206444527992351,Clear
lateOA121,1.7807685136382343,Clear
lateOA141,1.8930613802156584,Clear
lateOA249,1.9324448481581102,Caution
lateOA251,1.3440338307637134,Clear
lateOA341,2.0011825683511377,Caution
lateOA425,1.6140235552747146,Clear
lateOA48,1.1639187205611474,Clear
lateOA65,2.0333054071919436,Caution
lateOA1009,1.3472364671035635,Clear
lateOA1057R,1.4591792185304762,Clear
lateOA105R,1.107572564798538,Clear
lateOA138R,1.4703093879835425,Clear
lateOA316R,1.2876540699396717,Clear
lateOA675,1.7566265779332184,Clear
lateOA854,1.437539443840543,Clear
lateOA903,1.7945551694691755,Clear
lateOA904,1.5444835334864635,Clear
lateOA927,1.174571225139477,Clear
lateOA968,1.580420735421268,Clear
lateOA998,1.5439935838236902,Clear
lateOA1033,1.7369423100457073,Clear
lateOA1068,1.9442911541395738,Caution
lateOA1140,1.1835482545116207,Clear
lateOA748,1.260951696201845,Clear
lateOA754,1.412937322436262,Clear
lateOA779,1.8870245914789825,Clear
lateOA784,1.2281582705043093,Clear
lateOA825,1.4734701529975611,Clear
lateOA875,1.604254260768025,Clear
lateOA929,1.342892935423448,Clear
