samplename,readCounts,condition,rank_readCounts,unique_miRs,rank_unique
GSM4654616_P3,3815839,P3,1,742,3
GSM4654619_P6,2762007,P6,2,666,6
GSM4654620_N1,2491335,N1,3,649,8
GSM4654615_P2,2484235,P2,4,731,4
GSM4654622_N3,2363111,N3,5,641,9
GSM4654614_P1,2025448,P1,6,774,1
GSM4654621_N2,1726779,N2,7,665,7
GSM4654618_P5,1268773,P5,8,755,2
GSM4654617_P4,955209,P4,9,717,5
